Window Clock,TargetNum,AmpData,AngleData,DistanceGate,Frequency,RealXData,RealYData,DataType,Noise Floor,StaticResponse,BodySpeed,YawRate,Gear,Blinker,Hazard,Brake,Rudder,Deterioration Flag,Target Overflow Flag,Noise Floor For AutoTh,DistG0 Amp,Left Angle Err,Right Angle Err,SyncCounter,MinusDistAmp,Angle Converge first,Angle Converge current,Angle Err
0,0,243,-57.4,64,32,-8.08754,5.1722,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,1,287,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,2,240,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,3,154,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,4,107,-45.9,80,32,-8.61752,8.35095,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,5,85,-43.6,84,32,-8.68921,9.12457,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
0,6,139,-58.4,60,32,-7.66554,4.71587,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
40,0,245,-57.4,64,32,-8.08754,5.1722,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,1,290,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,2,242,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,3,155,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,4,109,-44.2,80,32,-8.36598,8.60293,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,5,87,-42.3,84,32,-8.47996,9.31935,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
40,6,137,-57.4,60,32,-7.58207,4.84894,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
80,0,244,-57.4,64,32,-8.08754,5.1722,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
80,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
80,2,241,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
80,3,159,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
80,4,109,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
80,5,139,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
120,0,245,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
120,1,288,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
120,2,240,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
120,3,154,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
120,4,99,-53.4,80,32,-9.63381,7.1547,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
120,5,140,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
160,0,246,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
160,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
160,2,242,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
160,3,154,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
160,4,99,-55.4,80,32,-9.87764,6.81413,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
160,5,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
200,0,246,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,1,292,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,2,41,69.6,8,33,1.12474,0.418287,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,3,241,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,4,150,-55.4,76,32,-9.38375,6.47342,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,5,96,-55.4,80,32,-9.87764,6.81413,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
200,6,141,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
240,0,245,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
240,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
240,2,242,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
240,3,154,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
240,4,102,-53.4,80,32,-9.63381,7.1547,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
240,5,140,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
280,0,246,-56.5,64,32,-8.0053,5.2986,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
280,1,291,-56.5,68,32,-8.50564,5.62976,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
280,2,241,-55.4,72,32,-8.88987,6.13271,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
280,3,151,-54.4,76,32,-9.26935,6.6362,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
280,4,97,-51.6,80,32,-9.40432,7.45377,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
280,5,139,-55.4,60,32,-7.40823,5.11059,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
320,0,247,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,1,292,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,2,43,69.6,8,33,1.12474,0.418287,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,3,243,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,4,151,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,5,100,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
320,6,142,-54.4,60,32,-7.31791,5.23911,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
360,0,250,-54.4,64,32,-7.80577,5.58838,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,1,296,-54.4,68,32,-8.29363,5.93765,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,2,41,71.1,8,33,1.1353,0.388701,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,3,245,-54.4,72,32,-8.78149,6.28693,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,4,154,-53.4,76,32,-9.15212,6.79696,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,5,100,-48,80,32,-8.91774,8.02957,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
360,6,141,-54.4,60,32,-7.31791,5.23911,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
400,0,248,-55.4,64,32,-7.90211,5.4513,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
400,1,292,-55.4,68,32,-8.39599,5.79201,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
400,2,243,-54.4,72,32,-8.78149,6.28693,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
400,3,154,-53.4,76,32,-9.15212,6.79696,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
400,4,105,-45,80,32,-8.48528,8.48528,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
400,5,138,-55.4,60,32,-7.40823,5.11059,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
440,0,244,-56.5,64,32,-8.0053,5.2986,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,1,290,-55.4,68,32,-8.39599,5.79201,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,2,17,9.9,196,31.5,5.05472,28.9622,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,3,240,-55.4,72,32,-8.88987,6.13271,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,4,154,-53.4,76,32,-9.15212,6.79696,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,5,17,3.1,204,31.25,1.65481,30.5552,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,6,109,-45.9,80,32,-8.61752,8.35095,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,7,85,-43.6,84,32,-8.68921,9.12457,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
440,8,138,-56.5,60,32,-7.50497,4.96743,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
480,0,245,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,2,243,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,3,156,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,4,109,-45.9,80,32,-8.61752,8.35095,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,5,82,-45,84,32,-8.90955,8.90955,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
480,6,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
520,0,244,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
520,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
520,2,241,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
520,3,153,-54.4,76,32,-9.26935,6.6362,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
520,4,98,-53.4,80,32,-9.63381,7.1547,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
520,5,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
560,0,247,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
560,1,291,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
560,2,243,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
560,3,156,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
560,4,103,-49.8,80,32,-9.16555,7.74549,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
560,5,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0,0,0
600,0,247,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
600,1,294,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
600,2,244,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
600,3,155,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
600,4,102,-49.8,80,32,-9.16555,7.74549,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
600,5,142,-54.4,60,32,-7.31791,5.23911,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,1,0,0,0,0
640,0,251,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
640,1,295,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
640,2,245,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
640,3,156,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
640,4,107,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
640,5,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,2,0,0,0,0
680,0,246,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
680,1,291,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
680,2,242,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
680,3,155,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
680,4,108,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
680,5,140,-54.4,60,32,-7.31791,5.23911,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,3,0,0,0,0
720,0,246,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,1,291,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,2,44,65.6,8,33,1.09282,0.495725,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,3,244,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,4,160,-49.8,76,32,-8.70727,7.35822,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,5,112,-45,80,32,-8.48528,8.48528,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,6,83,-45.9,84,32,-9.04839,8.7685,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
720,7,138,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,4,0,0,0,0
760,0,246,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
760,1,290,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
760,2,244,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
760,3,159,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
760,4,108,-48,80,32,-8.91774,8.02957,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
760,5,139,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,5,0,0,0,0
800,0,243,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,1,290,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,2,242,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,3,162,-49.8,76,32,-8.70727,7.35822,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,4,117,-43.6,80,32,-8.27543,8.69006,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,5,92,-42.9,84,32,-8.57708,9.23004,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
800,6,136,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,6,0,0,0,0
840,0,244,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,1,290,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,2,242,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,3,160,-48,76,32,-8.47185,7.62809,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,4,121,-42.3,80,32,-8.07615,8.87557,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,5,102,-38.7,84,32,-7.87806,9.83342,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
840,6,138,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,7,0,0,0,0
880,0,243,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,1,289,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,2,242,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,3,155,-51.6,76,32,-8.93411,7.08108,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,4,113,-43.6,80,32,-8.27543,8.69006,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,5,93,-39.9,84,32,-8.08227,9.66628,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
880,6,138,-55.4,60,32,-7.40823,5.11059,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,8,0,0,0,0
920,0,245,-55.4,64,32,-7.90211,5.4513,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,1,290,-55.4,68,32,-8.39599,5.79201,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,2,240,-55.4,72,32,-8.88987,6.13271,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,3,154,-51.6,76,32,-8.93411,7.08108,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,4,105,-45.9,80,32,-8.61752,8.35095,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,5,83,-42.3,84,32,-8.47996,9.31935,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
920,6,136,-56.5,60,32,-7.50497,4.96743,0,1334,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,9,0,0,0,0
960,0,243,-56.5,64,32,-8.0053,5.2986,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,1,289,-56.5,68,32,-8.50564,5.62976,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,2,238,-55.4,72,32,-8.88987,6.13271,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,3,147,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,4,101,-44.2,80,32,-8.36598,8.60293,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,5,84,-41.1,84,32,-8.28293,9.4949,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
960,6,136,-56.5,60,32,-7.50497,4.96743,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,10,0,0,0,0
1000,0,243,-56.5,64,32,-8.0053,5.2986,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,1,291,-55.4,68,32,-8.39599,5.79201,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,2,242,-55.4,72,32,-8.88987,6.13271,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,3,156,-54.4,76,32,-9.26935,6.6362,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,4,110,-49.8,80,32,-9.16555,7.74549,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,5,90,-44.2,84,32,-8.78428,9.03307,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1000,6,138,-55.4,60,32,-7.40823,5.11059,0,7936,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,11,0,0,0,0
1040,0,246,-55.4,64,32,-7.90211,5.4513,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,1,292,-55.4,68,32,-8.39599,5.79201,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,2,45,63.6,8,33,1.07485,0.533562,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,3,244,-55.4,72,32,-8.88987,6.13271,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,4,153,-56.5,76,32,-9.5063,6.29208,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,5,14,43.6,268,13.75,27.7227,29.1117,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,6,98,-57.4,80,32,-10.1094,6.46525,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1040,7,138,-55.4,60,32,-7.40823,5.11059,0,1139,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,12,0,0,0,0
1080,0,247,-55.4,64,32,-7.90211,5.4513,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,1,291,-55.4,68,32,-8.39599,5.79201,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,2,242,-55.4,72,32,-8.88987,6.13271,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,3,154,-56.5,76,32,-9.5063,6.29208,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,4,103,-55.4,80,32,-9.87764,6.81413,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,5,87,-42.9,84,32,-8.57708,9.23004,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1080,6,138,-54.4,60,32,-7.31791,5.23911,0,86,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,13,0,0,0,0
1120,0,244,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,1,289,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,2,242,-56.5,72,32,-9.00597,5.96092,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,3,154,-55.4,76,32,-9.38375,6.47342,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,4,106,-54.4,80,32,-9.75721,6.98548,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,5,84,-51.6,84,32,-9.87454,7.82646,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1120,6,139,-54.4,60,32,-7.31791,5.23911,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,14,0,0,0,0
1160,0,246,-55.4,64,32,-7.90211,5.4513,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
1160,1,291,-55.4,68,32,-8.39599,5.79201,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
1160,2,245,-54.4,72,32,-8.78149,6.28693,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
1160,3,157,-53.4,76,32,-9.15212,6.79696,0,0,0,0,0,0,0,0,0,0,0, 0,0,0,0,0,15,0,0,0,0
